FriendlyName,EntityType,Category,ObjectName
cake,Loot,Prefabs Weapons,assets/prefabs/weapons/cake/cake.entity.prefab
Camera,Loot,Misc,tool.camera (world)
Camp Fire,Loot,Items,campfire (world)
campfire,Blacklist,N/A,assets/prefabs/deployable/campfire/campfire.prefab
campfire_static,Blacklist,N/A,assets/bundled/prefabs/static/campfire_static.prefab
Can of Beans,Loot,Food,can.beans (world)
Can of Tuna,Loot,Food,can.tuna (world)
Canbourine,Loot,Instruments,fun.tambourine (world)
Candle Hat,Loot,Clothing,hat.candle (world)
Candy Cane,Loot,Misc,candycane (world)
Candy Cane Club,Loot,Misc,candycaneclub (world)
candy_caneentity,Blacklist,N/A,assets/prefabs/misc/xmas/candy cane club/candy_cane.entity.prefab
candyprojectile,Blacklist,N/A,assets/prefabs/misc/halloween/candies/candyprojectile.prefab
capturepoint,Blacklist,N/A,assets/prefabs/gamemodes/objects/capturepoint/capturepoint.prefab
Car Chassis 2,Loot,Vehicle Parts,assets/content/vehicles/modularcar/car_chassis_2module.entity.prefab
Car Chassis 3,Loot,Vehicle Parts,assets/content/vehicles/modularcar/car_chassis_3module.entity.prefab
Car Chassis 4,Loot,Vehicle Parts,assets/content/vehicles/modularcar/car_chassis_4module.entity.prefab
Car Key,Loot,Items,car.key (world)
Card Movember Moustache,Loot,Clothing,movembermoustachecard (world)
cardreader,Blacklist,N/A,assets/prefabs/io/electric/switches/cardreader.prefab
cardtable.static_configc,Blacklist,CheckThis,assets/prefabs/deployable/card table/cardtable.static_configc.prefab
cardtableplayerstorage,Blacklist,CheckThis,assets/prefabs/deployable/card table/subents/cardtableplayerstorage.prefab
cardtablepotstorage,Blacklist,CheckThis,assets/prefabs/deployable/card table/subents/cardtablepotstorage.prefab
cardtableseat,Blacklist,CheckThis,assets/prefabs/deployable/card table/subents/cardtableseat.prefab
Cargo Plane,VehicleNPC,N/A,assets/prefabs/npc/cargo plane/cargo_plane.prefab
Cargo Ship,Vehicle,Content Vehicles,assets/content/vehicles/boats/cargoship/cargoshiptest.prefab
cargomarker,Blacklist,N/A,assets/prefabs/tools/map/cargomarker.prefab
carshredder.entity,Blacklist,CheckThis,assets/content/structures/carshredder/carshredder.entity.prefab
cave_lift,Blacklist,N/A,assets/content/structures/lift_shaft/cave_lift.prefab
cave_lift_trigger,Blacklist,N/A,assets/content/structures/lift_shaft/cave_lift_trigger.prefab
CCTV Camera,Loot,Components,cctv.camera (world)
cctv_deployed,Blacklist,N/A,assets/prefabs/deployable/cctvcamera/cctv_deployed.prefab
cctvstatic,Blacklist,N/A,assets/prefabs/deployable/cctvcamera/cctv.static.prefab
Ceiling Light,Loot,Items,ceilinglight (world)
ceilinglightdeployed,Blacklist,N/A,assets/prefabs/deployable/ceiling light/ceilinglight.deployed.prefab
ch47,Vehicle,N/A,assets/prefabs/npc/ch47/ch47.entity.prefab
CH47,Loot,Corpse,assets/prefabs/npc/ch47/servergibs_ch47.prefab
ch47 Scientists,VehicleNPC,N/A,assets/prefabs/npc/ch47/ch47scientists.entity.prefab
ch47marker,Blacklist,N/A,assets/prefabs/tools/map/ch47marker.prefab
Chainlink Fence,Loot,Construction,wall.frame.fence (world)
Chainlink Fence Gate,Loot,Construction,wall.frame.fence.gate (world)
chainsaw,Loot,Prefabs Weapons,assets/prefabs/weapons/chainsaw/chainsaw.entity.prefab
Chainsaw,Loot,Tools,chainsaw (world)
Chair,Loot,Items,chair (world)
chairdeployed,Blacklist,N/A,assets/prefabs/deployable/chair/chair.deployed.prefab
chairinvisiblestatic,Blacklist,N/A,assets/bundled/prefabs/static/chair.invisible.static.prefab
chairstatic,Blacklist,N/A,assets/bundled/prefabs/static/chair.static.prefab
Champagne Boomer,Loot,Misc,firework.boomer.champagne (world)
Charcoal,Loot,Resources,charcoal (world)
Chicken,Animal,N/A,assets/rust.ai/agents/chicken/chicken.prefab
Chicken Corpse,Loot,Corpse,assets/rust.ai/agents/chicken/chicken.corpse.prefab
Chinese Lantern,Loot,Items,chineselantern (world)
chinese_door_decoration,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/chinese_door_decoration/chinese_door_decoration.prefab
chinese_door_frame_decoration,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/chinese_door_frame_decoration/chinese_door_frame_decoration.prefab
chineselanterndeployed,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/chineselantern/chineselantern.deployed.prefab
Chippy Arcade Game,Loot,Items,arcade.machine.chippy (world)
chippyarcademachine,Blacklist,N/A,assets/prefabs/misc/chippy arcade/chippyarcademachine.prefab
Chocolate Bar,Loot,Food,chocholate (world)
Christmas Door Wreath,Loot,Misc,xmasdoorwreath (world)
Christmas Lights,Loot,Misc,xmas.lightstring (world)
Christmas Tree,Loot,Misc,xmas.tree (world)
christmas_door_wreath_deployed,Blacklist,N/A,assets/prefabs/misc/xmas/wreath/christmas_door_wreath_deployed.prefab
Clatter Helmet,Loot,Clothing,clatter.helmet (world)
Cloth,Loot,Resources,cloth (world)
Coal,Loot,Misc,coal (world)
Cockpit Vehicle Module,Loot,Vehicle Parts,vehicle.1mod.cockpit (world)
Cockpit With Engine Vehicle Module,Loot,Vehicle Parts,vehicle.1mod.cockpit.with.engine (world)
Code Lock,Loot,Construction,lock.code (world)
codelockedhackablecrate,Blacklist,N/A,assets/prefabs/deployable/chinooklockedcrate/codelockedhackablecrate.prefab
codelockedhackablecrate_oilrig,Blacklist,N/A,assets/prefabs/deployable/chinooklockedcrate/codelockedhackablecrate_oilrig.prefab
Coffee Can Helmet,Loot,Clothing,coffeecan.helmet (world)
Coffin,Loot,Items,coffin.storage (world)
coffinstorage,Blacklist,N/A,assets/prefabs/misc/halloween/coffin/coffinstorage.prefab
collectablecandy,Blacklist,N/A,assets/prefabs/misc/halloween/candies/collectablecandy.prefab
collectableegg,Blacklist,N/A,assets/prefabs/misc/easter/painted eggs/collectableegg.prefab
Combat Knife,Loot,Weapons,knife.combat (world)
community,Blacklist,N/A,assets/bundled/prefabs/system/server/community.prefab
composter,Blacklist,N/A,assets/prefabs/deployable/composter/composter.prefab
Composter,Loot,Items,composter (world)
Compound Bow,Loot,Weapons,bow.compound (world)
compound_bow,Loot,Prefabs Weapons,assets/prefabs/weapons/compound bow/compound_bow.entity.prefab
Computer Station,Loot,Items,computerstation (world)
computerstationdeployed,Blacklist,N/A,assets/prefabs/deployable/computerstation/computerstation.deployed.prefab
Concrete Barricade,Loot,Construction,barricade.concrete (world)
Cooked Bear Meat,Loot,Food,bearmeat.cooked (world)
Cooked Chicken,Loot,Food,chicken.cooked (world)
Cooked Deer Meat,Loot,Food,deermeat.cooked (world)
Cooked Fish,Loot,Food,fish.cooked (world)
Cooked Horse Meat,Loot,Food,horsemeat.cooked (world)
Cooked Human Meat,Loot,Food,humanmeat.cooked (world)
Cooked Pork,Loot,Food,meat.pork.cooked (world)
Cooked Wolf Meat,Loot,Food,wolfmeat.cooked (world)
copilotseat,Blacklist,N/A,assets/prefabs/vehicle/seats/copilotseat.prefab
Corn,Loot,Food,assets/bundled/prefabs/autospawn/collectable/corn/corn-collectable.prefab
Corn,Loot,Food,assets/prefabs/plants/corn/corn.entity.prefab
Corn,Loot,Food,corn (world)
Corn Clone,Loot,Food,clone.corn (world)
Corn Seed,Loot,Seeds,seed.corn (world)
counter,Blacklist,N/A,assets/prefabs/deployable/playerioents/counter/counter.prefab
Counter,Loot,Electronics,electric.counter (world)
Cowbell,Loot,Items,fun.cowbell (world)
cowbellweapon,Blacklist,N/A,assets/prefabs/instruments/cowbell/cowbell.weapon.prefab
craneoperator,Blacklist,CheckThis,assets/prefabs/vehicle/seats/craneoperator.prefab
Crate Costume,Loot,Clothing,cratecostume (world)
cratemarker,Blacklist,N/A,assets/prefabs/tools/map/cratemarker.prefab
creosote_bush_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_grass/creosote_bush_a.prefab
creosote_bush_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_grass/creosote_bush_b.prefab
creosote_bush_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_grass/creosote_bush_c.prefab
creosote_bush_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_desert/creosote_bush_c.prefab
creosote_bush_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_grass/creosote_bush_d.prefab
creosote_bush_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_desert/creosote_bush_d.prefab
creosote_bush_dry_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_dry/creosote_bush_dry_a.prefab
creosote_bush_dry_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arid_dry/creosote_bush_dry_b.prefab
Crossbow,Loot,Weapons,crossbow (world)
crossbowentity,Loot,Prefabs Weapons,assets/prefabs/weapons/crossbow/crossbow.entity.prefab
Crude Oil,Loot,Resources,crude.oil (world)
crudeoutput,Blacklist,N/A,assets/prefabs/deployable/oil jack/crudeoutput.prefab
Cupboard Tool,House,N/A,assets/prefabs/deployable/tool cupboard/cupboard.tool.deployed.prefab
Cursed Cauldron,Loot,Items,cursedcauldron (world)
cursedcauldrondeployed,Blacklist,N/A,assets/prefabs/misc/halloween/cursed_cauldron/cursedcauldron.deployed.prefab
Custom SMG,Loot,Weapons,smg.2 (world)
dead_log_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_dry/dead_log_a.prefab
dead_log_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_snow/dead_log_a.prefab
dead_log_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_wet/dead_log_a.prefab
dead_log_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_dry/dead_log_b.prefab
dead_log_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_snow/dead_log_b.prefab
dead_log_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_wet/dead_log_b.prefab
dead_log_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_dry/dead_log_c.prefab
dead_log_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_snow/dead_log_c.prefab
dead_log_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/logs_wet/dead_log_c.prefab
deathmatch,Blacklist,N/A,assets/prefabs/gamemodes/deathmatch.prefab
debriswall,Blacklist,N/A,assets/prefabs/debris/debris.wall.prefab
Decorative Baubels,Loot,Misc,xmas.decoration.baubels (world)
Decorative Gingerbread Men,Loot,Misc,xmas.decoration.gingerbreadmen (world)
Decorative Pinecones,Loot,Misc,xmas.decoration.pinecone (world)
Decorative Plastic Candy Canes,Loot,Misc,xmas.decoration.candycanes (world)
Decorative Tinsel,Loot,Misc,xmas.decoration.tinsel (world)
deliverydronemarker,Blacklist,N/A,assets/prefabs/misc/marketplace/deliverydronemarker.prefab
Deluxe Christmas Lights,Loot,Misc,xmas.lightstring.advanced (world)
detonatorentity,Blacklist,N/A,assets/prefabs/tools/detonator/detonator.entity.prefab
Diesel Barrel,Loot,Barrel,assets/prefabs/resource/diesel barrel/diesel_barrel_world.prefab
Diesel Fuel,Loot,Resources,diesel_barrel (world)
diesel_collectable,Blacklist,N/A,assets/content/structures/excavator/prefabs/diesel_collectable.prefab
divesite_a,Blacklist,N/A,assets/prefabs/misc/divesite/divesite_a.prefab
divesite_b,Blacklist,N/A,assets/prefabs/misc/divesite/divesite_b.prefab
divesite_c,Blacklist,N/A,assets/prefabs/misc/divesite/divesite_c.prefab
Diving Fins,Loot,Clothing,diving.fins (world)
Diving Mask,Loot,Clothing,diving.mask (world)
Diving Tank,Loot,Clothing,diving.tank (world)
dm ammo,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm ammo.prefab
dm c4,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm c4.prefab
dm construction resources,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm construction resources.prefab
dm construction tools,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm construction tools.prefab
dm food,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm food.prefab
dm medical,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm medical.prefab
dm res,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm res.prefab
dm tier1 lootbox,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm tier1 lootbox.prefab
dm tier2 lootbox,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm tier2 lootbox.prefab
dm tier3 lootbox,Blacklist,N/A,assets/bundled/prefabs/radtown/dmloot/dm tier3 lootbox.prefab
Door Closer,Loot,Electronics,door.closer (world)
Door Controller,Loot,Electronics,electric.doorcontroller (world)
Door Key,Loot,Misc,door.key (world)
door_barricade_a,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_a.prefab
door_barricade_a_large,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_a_large.prefab
door_barricade_b,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_b.prefab
door_barricade_dbl_a,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_dbl_a.prefab
door_barricade_dbl_a_large,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_dbl_a_large.prefab
door_barricade_dbl_b,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_dbl_b.prefab
door_barricade_dbl_b_large,Blacklist,N/A,assets/prefabs/deployable/door barricades/door_barricade_dbl_b_large.prefab
door_test_static,Blacklist,N/A,assets/bundled/prefabs/static/door_test_static.prefab
doorcloser,Blacklist,N/A,assets/prefabs/misc/doorcloser/doorcloser.prefab
doorcontrollerdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/doormanipulators/doorcontroller.deployed.prefab
doorhingedelevator_door,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.elevator_door.prefab
doorhingedgarage_a,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.garage_a.prefab
doorhingedindustrial_a_a,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_a.prefab
doorgarlanddeployed,Blacklist,N/A,assets/prefabs/misc/xmas/doorgarland/doorgarland.deployed.prefab
doorhingedindustrial_a_b,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_b.prefab
doorhingedindustrial_a_c,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_c.prefab
doorhingedindustrial_a_d,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_d.prefab
doorhingedindustrial_a_e,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_e.prefab
doorhingedindustrial_a_f,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_f.prefab
doorhingedindustrial_a_g,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_g.prefab
doorhingedindustrial_a_h,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.industrial_a_h.prefab
doorhingedsecurityblue,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.security.blue.prefab
doorhingedsecuritygreen,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.security.green.prefab
doorhingedsecurityred,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.security.red.prefab
doorhingedvent,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.vent.prefab
doorhingedwoodstatic,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.wood.static.prefab
doordoublehingedmetal,ESP,N/A,assets/prefabs/building/door.double.hinged/door.double.hinged.metal.prefab
doordoublehingedtoptier,ESP,N/A,assets/prefabs/building/door.double.hinged/door.double.hinged.toptier.prefab
doordoublehingedwood,ESP,N/A,assets/prefabs/building/door.double.hinged/door.double.hinged.wood.prefab
doorhingedmetal,ESP,N/A,assets/prefabs/building/door.hinged/door.hinged.metal.prefab
doorhingedtoptier,ESP,N/A,assets/prefabs/building/door.hinged/door.hinged.toptier.prefab
doorhingedwood,ESP,N/A,assets/prefabs/building/door.hinged/door.hinged.wood.prefab
doorhingedindustriala,Blacklist,N/A,assets/prefabs/misc/twitch/industrialdoora/door.hinged.industrial.a.prefab
Sheet Metal Double Door,Loot,Construction,door.double.hinged.metal (world)
Armored Double Door,Loot,Construction,door.double.hinged.toptier (world)
doormanipulator,Blacklist,N/A,assets/prefabs/io/electric/switches/doormanipulator.prefab
Double Barrel Shotgun,Loot,Weapons,shotgun.double (world)
Double Sign Post,Loot,Items,sign.post.double (world)
double_shotgun,Loot,Prefabs Weapons,assets/prefabs/weapons/doubleshotgun/double_shotgun.entity.prefab
douglas_fir_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/douglas_fir_a.prefab
douglas_fir_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/douglas_fir_a.prefab
douglas_fir_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/douglas_fir_a.prefab
douglas_fir_a_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arctic_forest/douglas_fir_a_snow.prefab
douglas_fir_a_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arctic_forest/douglas_fir_a_snow.prefab
douglas_fir_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/douglas_fir_b.prefab
douglas_fir_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/douglas_fir_b.prefab
douglas_fir_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/douglas_fir_b.prefab
douglas_fir_b_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arctic_forest/douglas_fir_b_snow.prefab
douglas_fir_b_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arctic_forest/douglas_fir_b_snow.prefab
douglas_fir_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/douglas_fir_c.prefab
douglas_fir_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/douglas_fir_c.prefab
douglas_fir_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/douglas_fir_c.prefab
douglas_fir_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/douglas_fir_c.prefab
douglas_fir_c_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arctic_forest/douglas_fir_c_snow.prefab
douglas_fir_c_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arctic_forest_snow/douglas_fir_c_snow.prefab
douglas_fir_c_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arctic_forest/douglas_fir_c_snow.prefab
douglas_fir_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/douglas_fir_d.prefab
douglas_fir_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_beachforest_small/douglas_fir_d.prefab
douglas_fir_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_field_small/douglas_fir_d.prefab
douglas_fir_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_small/douglas_fir_d.prefab
douglas_fir_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside_pine/douglas_fir_d.prefab
douglas_fir_d_small,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forestside/douglas_fir_d_small.prefab
Dragon Door Knocker,Loot,Misc,dragondoorknocker (world)
Dragon Mask,Loot,Clothing,hat.dragonmask (world)
dragondoorknockerdeployed,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/dragondoorknocker/dragondoorknocker.deployed.prefab
driftwood,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_set_1.prefab
driftwood,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_set_2.prefab
driftwood,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_set_3.prefab
driftwood_1,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_1.prefab
driftwood_2,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_2.prefab
driftwood_3,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_3.prefab
driftwood_4,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_4.prefab
driftwood_5,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/driftwood/driftwood_5.prefab
driverseat,Blacklist,N/A,assets/prefabs/vehicle/seats/driverseat.prefab
Drone,Loot,Electronics,drone (world)
dronedelivery,Blacklist,N/A,assets/prefabs/misc/marketplace/drone.delivery.prefab
dronedeployed,Blacklist,N/A,assets/prefabs/deployable/drone/drone.deployed.prefab
Drop Box,Loot,Items,dropbox (world)
dropboxdeployed,Blacklist,N/A,assets/prefabs/deployable/dropbox/dropbox.deployed.prefab
drumkitdeployed,Blacklist,N/A,assets/prefabs/instruments/drumkit/drumkit.deployed.prefab
drumkitdeployedstatic,Blacklist,N/A,assets/bundled/prefabs/static/drumkit.deployed.static.prefab
Duct Tape,Loot,Items,ducttape (world)
Easter Door Wreath,Loot,Misc,easterdoorwreath (world)
easter_basketentity,Blacklist,N/A,assets/prefabs/misc/easter/easter basket/easter_basket.entity.prefab
easter_door_wreath_deployed,Blacklist,N/A,assets/prefabs/misc/easter/door_wreath/easter_door_wreath_deployed.prefab
eastereggprojectile,Blacklist,N/A,assets/prefabs/misc/easter/easter basket/eastereggprojectile.prefab
Egg Basket,Loot,Misc,easterbasket (world)
egghunt,Blacklist,N/A,assets/prefabs/misc/easter/egghunt.prefab
Electric Fuse,Loot,Electronics,fuse (world)
Electric Heater,Loot,Electronics,electric.heater (world)
Electrical Branch,Loot,Electronics,electrical.branch (world)
electricalblockerdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/blocker/electrical.blocker.deployed.prefab
electricalbranchdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/branch/electrical.branch.deployed.prefab
electricalcombinerdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/combiner/electrical.combiner.deployed.prefab
electricalheater,Blacklist,N/A,assets/prefabs/deployable/playerioents/electricheater/electrical.heater.prefab
electricalmemorycelldeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/dflipflop/electrical.memorycell.deployed.prefab
electricalmodularcarliftdeployed,Blacklist,N/A,assets/prefabs/deployable/modular car lift/electrical.modularcarlift.deployed.prefab
electricalrandomswitchdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/randswitch/electrical.random.switch.deployed.prefab
electricflasherlightdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/lights/flasherlight/electric.flasherlight.deployed.prefab
electricsirenlightdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/lights/sirenlight/electric.sirenlight.deployed.prefab
electricsprinklerdeployed,Blacklist,N/A,assets/prefabs/deployable/playerioents/sprinkler/electric.sprinkler.deployed.prefab
electricwindmillsmall,Blacklist,N/A,assets/prefabs/deployable/windmill/windmillsmall/electric.windmill.small.prefab
elevator,Blacklist,N/A,assets/prefabs/deployable/elevator/elevator.prefab
elevator,Blacklist,N/A,assets/prefabs/deployable/elevator/static/elevator.static.prefab
Elevator,Loot,Electronics,elevator (world)
elevator lift,Blacklist,N/A,assets/prefabs/deployable/elevator/static/elevator_lift.static.prefab
elevator_lift,Blacklist,N/A,assets/prefabs/deployable/elevator/elevator_lift.prefab
elevatorioentity,Blacklist,N/A,assets/prefabs/deployable/elevator/elevatorioentity.prefab
Elite Crate,Loot,Crate,assets/bundled/prefabs/radtown/crate_elite.prefab
Empty Can Of Beans,Loot,Resources,can.beans.empty (world)
Empty Propane Tank,Loot,Components,propanetank (world)
Empty Tuna Can,Loot,Resources,can.tuna.empty (world)
engine,Blacklist,N/A,assets/content/structures/excavator/prefabs/engine.prefab
Engine Vehicle Module,Loot,Vehicle Parts,vehicle.1mod.engine (world)
enginelistener,Blacklist,N/A,assets/content/structures/excavator/prefabs/enginelistener.prefab
engineswitch,Blacklist,N/A,assets/prefabs/deployable/oil jack/engineswitch.prefab
engineswitch,Blacklist,N/A,assets/prefabs/deployable/quarry/engineswitch.prefab
Eoka Pistol,Loot,Weapons,pistol.eoka (world)
excavator lighting static,Blacklist,N/A,assets/content/props/light_fixtures/v2/radtown work prefabs/excavator lighting static.prefab
excavator_lights,Blacklist,N/A,assets/content/props/light_fixtures/v2/radtown work prefabs/excavator_lights.prefab
excavator_lights,Blacklist,N/A,assets/content/structures/excavator/prefabs/excavator_lights.prefab
excavator_output_pile,Blacklist,N/A,assets/content/structures/excavator/prefabs/excavator_output_pile.prefab
excavator_yaw,Blacklist,N/A,assets/content/structures/excavator/prefabs/excavator_yaw.prefab
explosionmarker,Blacklist,N/A,assets/prefabs/tools/map/explosionmarker.prefab
Explosive 5.56 Rifle Ammo,Loot,Ammo,ammo.rifle.explosive (world)
Explosives,Loot,Resources,explosives (world)
explosivesatchel,Loot,Prefabs Weapons,assets/prefabs/weapons/satchelcharge/explosive.satchel.deployed.prefab
explosivesatchel,Loot,Prefabs Weapons,assets/prefabs/weapons/satchelcharge/explosive.satchel.entity.prefab
explosivetimeddeployed,Blacklist,N/A,assets/prefabs/tools/c4/explosive.timed.deployed.prefab
explosivetimedentity,Blacklist,N/A,assets/prefabs/tools/c4/explosive.timed.entity.prefab
F1 Grenade,Loot,Weapons,grenade.f1 (world)
Fertilizer,Loot,Resources,fertilizer (world)
Festive Doorway Garland,Loot,Misc,xmas.door.garland (world)
Festive Window Garland,Loot,Misc,xmas.window.garland (world)
Fire Arrow,Loot,Ammo,arrow.fire (world)
Fire Rocket,Loot,Ammo,assets/prefabs/ammo/rocket/rocket_fire.prefab
fireball,Blacklist,N/A,assets/bundled/prefabs/fireball.prefab
fireball_small,Blacklist,N/A,assets/bundled/prefabs/fireball_small.prefab
fireball_small_arrow,Blacklist,N/A,assets/bundled/prefabs/fireball_small_arrow.prefab
fireball_small_shotgun,Blacklist,N/A,assets/bundled/prefabs/fireball_small_shotgun.prefab
Firecracker String,Loot,Misc,lunar.firecrackers (world)
firecrackersdeployed,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/throwablefirecrackers/firecrackers.deployed.prefab
firecrackersentity,Blacklist,N/A,assets/prefabs/misc/chinesenewyear/throwablefirecrackers/firecrackers.entity.prefab
fireplace deployed,Blacklist,N/A,assets/prefabs/deployable/elevator/static/elevator.static.top.prefab
fireplacedeployed,Blacklist,N/A,assets/prefabs/deployable/fireplace/fireplace.deployed.prefab
fishing_rodentity,Blacklist,N/A,assets/prefabs/tools/fishing rod/fishing_rod.entity.prefab
Flame Thrower,Loot,Weapons,flamethrower (world)
Flame Turret,Loot,Traps,assets/prefabs/npc/flame turret/flameturret.deployed.prefab
Flame Turret,Loot,Traps,flameturret (world)
flamethrower,Loot,Prefabs Weapons,assets/prefabs/weapons/flamethrower/flamethrower.entity.prefab
flamethrower_fireball,Loot,Prefabs Weapons,assets/prefabs/weapons/flamethrower/flamethrower_fireball.prefab
flameturret_fireball,Blacklist,N/A,assets/prefabs/npc/flame turret/flameturret_fireball.prefab
Flare,Loot,Tools,flare (world)
flaredeployed,Blacklist,N/A,assets/prefabs/tools/flareold/flare.deployed.prefab
flareweapon,Blacklist,N/A,assets/prefabs/tools/flareold/flare.weapon.prefab
