FriendlyName,TypeName,EntityType,Category,Notes,ConfigName,CleanName,ModelName
Dark Moto Helmet,DarkMotoHelmet_Blue,Loot,Headwear,,,,
Deer Pelt,DeerPelt,Loot,Crafting,,,,
Deer Steak Meat,DeerSteakMeat,Loot,Food,,,,
Defibrillator,Defibrillator,Loot,Medical,,,,
Designer Glasses,DesignerGlasses,Loot,Eyewear,,,,
Dirt Bike Helmet,DirtBikeHelmet_Black,Loot,Headwear,,,,
Dirt Bike Helmet,DirtBikeHelmet_Blue,Loot,Headwear,,,,
Dirt Bike Helmet,DirtBikeHelmet_Khaki,Loot,Headwear,,,,
Dirt Bike Helmet,DirtBikeHelmet_Police,Loot,Headwear,,,,
Dirt Bike Helmet,DirtBikeHelmet_Red,Loot,Headwear,,,,
Dress Shoes,DressShoes_White,Loot,Shoes,,,,
Engine Oil,EngineOil,Loot,Equipment,,,,
FAL,FAL,Loot,Weapons,,,,
Fal_OeBttstck,Fal_OeBttstck,Loot,Attachments,,,,
Fence Kit,FenceKit,Loot,Equipment,,,,
Firefighter Axe,FirefighterAxe,Loot,Tools,,,,
Firefighter Axe,FirefighterAxe_Black,Loot,Tools,,,,
Firefighter Axe,FirefighterAxe_Green,Loot,Tools,,,,
Firefighter Jacket,FirefighterJacket_Beige,Loot,Shirts,,,,
Firefighter Jacket,FirefighterJacket_Black,Loot,Shirts,,,,
Firefighters Helmet,FirefightersHelmet_Red,Loot,Headwear,,,,
Firefighters Helmet,FirefightersHelmet_White,Loot,Headwear,,,,
Firefighters Helmet,FirefightersHelmet_Yellow,Loot,Headwear,,,,
Firefighters Pants,FirefightersPants_Beige,Loot,Pants,,,,
Firefighters Pants,FirefightersPants_Black,Loot,Pants,,,,
Fireplace Indoor,FireplaceIndoor,Loot,Equipment,,,,
Firewood,Firewood,Loot,Crafting,,,,
Flag,Flag_APA,Loot,Equipment,,,,
Flag,Flag_Altis,Loot,Equipment,,,,
Flag,Flag_BabyDeer,Loot,Equipment,,,,
Flag,Flag_Bear,Loot,Equipment,,,,
Flag,Flag_Bohemia,Loot,Equipment,,,,
Flag,Flag_BrainZ,Loot,Equipment,,,,
Flag,Flag_CDF,Loot,Equipment,,,,
Flag,Flag_CHEL,Loot,Equipment,,,,
Flag,Flag_Cannibals,Loot,Equipment,,,,
Flag,Flag_Chedaki,Loot,Equipment,,,,
Flag,Flag_Chernarus,Loot,Equipment,,,,
Flag,Flag_HunterZ,Loot,Equipment,,,,
Flag,Flag_Livonia,Loot,Equipment,,,,
Flag,Flag_LivoniaArmy,Loot,Equipment,,,,
Flag,Flag_LivoniaPolice,Loot,Equipment,,,,
Flag,Flag_NAPA,Loot,Equipment,,,,
Flag,Flag_NSahrani,Loot,Equipment,,,,
Flag,Flag_Rooster,Loot,Equipment,,,,
Flag,Flag_SSahrani,Loot,Equipment,,,,
Flag,Flag_TEC,Loot,Equipment,,,,
Flag,Flag_UEC,Loot,Equipment,,,,
Flag,Flag_Wolf,Loot,Equipment,,,,
Flag,Flag_Zenit,Loot,Equipment,,,,
Flash Grenade,FlashGrenade,Loot,Grenades,,,,
Cap,FlatCap_BlackCheck,Loot,Headwear,,,,
Fur Courier Bag,FurCourierBag,Loot,Backpacks,,,,
Fur Improvised Bag,FurImprovisedBag,Loot,Backpacks,,,,
GP5 Gas Mask,GP5GasMask,Loot,Masks,,,,
Gas Mask,GasMask,Loot,Masks,,,,
Ghillie,GhillieAtt_Tan,Loot,Ghillie,,,,
GhillieBushrag_Mossy,GhillieBushrag_Mossy,Loot,Ghillie,,,,
GhillieBushrag_Tan,GhillieBushrag_Tan,Loot,Ghillie,,,,
GhillieBushrag_Woodland,GhillieBushrag_Woodland,Loot,Ghillie,,,,
GhillieHood_Mossy,GhillieHood_Mossy,Loot,Ghillie,,,,
GhillieHood_Tan,GhillieHood_Tan,Loot,Ghillie,,,,
GhillieSuit_Mossy,GhillieSuit_Mossy,Loot,Ghillie,,,,
GhillieSuit_Tan,GhillieSuit_Tan,Loot,Ghillie,,,,
GhillieTop_Mossy,GhillieTop_Mossy,Loot,Ghillie,,,,
GhillieTop_Tan,GhillieTop_Tan,Loot,Ghillie,,,,
GhillieTop_Woodland,GhillieTop_Woodland,Loot,Ghillie,,,,
GiftBox_Large_1,GiftBox_Large_1,Loot,Equipment,,,,
GiftBox_Large_2,GiftBox_Large_2,Loot,Equipment,,,,
GiftBox_Large_3,GiftBox_Large_3,Loot,Equipment,,,,
GiftBox_Large_4,GiftBox_Large_4,Loot,Equipment,,,,
GiftBox_Medium_1,GiftBox_Medium_1,Loot,Equipment,,,,
GiftBox_Medium_2,GiftBox_Medium_2,Loot,Equipment,,,,
GiftBox_Medium_3,GiftBox_Medium_3,Loot,Equipment,,,,
GiftBox_Medium_4,GiftBox_Medium_4,Loot,Equipment,,,,
GiftBox_Small_1,GiftBox_Small_1,Loot,Equipment,,,,
GiftBox_Small_2,GiftBox_Small_2,Loot,Equipment,,,,
GiftBox_Small_3,GiftBox_Small_3,Loot,Equipment,,,,
GiftBox_Small_4,GiftBox_Small_4,Loot,Equipment,,,,
Glock19,Glock19,Loot,Weapons,,,,
Goat Pelt,GoatPelt,Loot,Crafting,,,,
Goat Steak Meat,GoatSteakMeat,Loot,Food,,,,
Gorka Jacket,GorkaEJacket_Autumn,Loot,Shirts,,,,
Gorka Jacket,GorkaEJacket_PautRev,Loot,Shirts,,,,
Gorka Jacket,GorkaEJacket_Summer,Loot,Shirts,,,,
Gorka Helmet,GorkaHelmet,Loot,Headwear,,,,
Gorka Pants,GorkaPants_Autumn,Loot,Pants,,,,
Gorka Pants,GorkaPants_Flat,Loot,Pants,,,,
Gorka Pants,GorkaPants_PautRev,Loot,Pants,,,,
Guts,Guts,Loot,Food,,,,
Hand Drill Kit,HandDrillKit,Loot,Tools,,,,
Handcuff Keys,HandcuffKeys,Loot,Equipment,,,,
Handcuffs,Handcuffs,Loot,Equipment,,,,
Handcuffs Locked,HandcuffsLocked,Loot,Equipment,,,,
HatchbackDoors_CoDriver,HatchbackDoors_CoDriver,Loot,Vehicle Parts,,,,
HatchbackDoors_CoDriver_Blue,HatchbackDoors_CoDriver_Blue,Loot,Vehicle Parts,,,,
HatchbackDoors_CoDriver_White,HatchbackDoors_CoDriver_White,Loot,Vehicle Parts,,,,
HatchbackDoors_Driver,HatchbackDoors_Driver,Loot,Vehicle Parts,,,,
HatchbackDoors_Driver_Blue,HatchbackDoors_Driver_Blue,Loot,Vehicle Parts,,,,
HatchbackDoors_Driver_White,HatchbackDoors_Driver_White,Loot,Vehicle Parts,,,,
HatchbackHood,HatchbackHood,Loot,Vehicle Parts,,,,
HatchbackHood_Blue,HatchbackHood_Blue,Loot,Vehicle Parts,,,,
HatchbackHood_BlueRust,HatchbackHood_BlueRust,Loot,Vehicle Parts,,,,
HatchbackHood_White,HatchbackHood_White,Loot,Vehicle Parts,,,,
HatchbackTrunk,HatchbackTrunk,Loot,Vehicle Parts,,,,
HatchbackTrunk_Blue,HatchbackTrunk_Blue,Loot,Vehicle Parts,,,,
HatchbackTrunk_White,HatchbackTrunk_White,Loot,Vehicle Parts,,,,
HatchbackWheel_Ruined,HatchbackWheel_Ruined,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_1,Hatchback_02_Door_1_1,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_1_Black,Hatchback_02_Door_1_1_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_1_Blue,Hatchback_02_Door_1_1_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_2,Hatchback_02_Door_1_2,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_2_Black,Hatchback_02_Door_1_2_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Door_1_2_Blue,Hatchback_02_Door_1_2_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_1,Hatchback_02_Door_2_1,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_1_Black,Hatchback_02_Door_2_1_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_1_Blue,Hatchback_02_Door_2_1_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_2,Hatchback_02_Door_2_2,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_2_Black,Hatchback_02_Door_2_2_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Door_2_2_Blue,Hatchback_02_Door_2_2_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Hood,Hatchback_02_Hood,Loot,Vehicle Parts,,,,
Hatchback_02_Hood_Black,Hatchback_02_Hood_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Hood_Blue,Hatchback_02_Hood_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Trunk,Hatchback_02_Trunk,Loot,Vehicle Parts,,,,
Hatchback_02_Trunk_Black,Hatchback_02_Trunk_Black,Loot,Vehicle Parts,,,,
Hatchback_02_Trunk_Blue,Hatchback_02_Trunk_Blue,Loot,Vehicle Parts,,,,
Hatchback_02_Wheel_Ruined,Hatchback_02_Wheel_Ruined,Loot,Vehicle Parts,,,,
HeadlightH7,HeadlightH7,Loot,Vehicle Parts,,,,
Hesco Box,HescoBox,Loot,Equipment,Camping Gear,,,
High Capacity Vest,HighCapacityVest_Black,Loot,Vests,,,,
High Capacity Vest,HighCapacityVest_Olive,Loot,Vests,,,,
Hiking Jacket,HikingJacket_Black,Loot,Shirts,,,,
Hockey Helmet,HockeyHelmet_Black,Loot,Headwear,,,,
Hockey Mask,HockeyMask,Loot,Masks,,,,
Hoxton Mask,HoxtonMask,Loot,Masks,,,,
Human Steak Meat,HumanSteakMeat,Loot,Food,,,,
Hunting Vest,HuntingVest,Loot,Vests,,,,
Improvised Bag,ImprovisedBag,Loot,Backpacks,,,,
Improvised Fishing Rod,ImprovisedFishingRod,Loot,Fishing,,,,
Improvised Suppressor,ImprovisedSuppressor,Loot,Attachments,,,,
Jeans,Jeans_BlueDark,Loot,Pants,,,,
Jeans,Jeans_Grey,Loot,Pants,,,,
Jogging Shoes,JoggingShoes_Black,Loot,Shoes,,,,
Jumpsuit Jacket,JumpsuitJacket_Gray,Loot,Shirts,,,,
Jungle Boots,JungleBoots_Beige,Loot,Shoes,,,,
Jungle Boots,JungleBoots_Brown,Loot,Shoes,,,,
Jungle Boots,JungleBoots_Olive,Loot,Shoes,,,,
Kashtan Optic,KashtanOptic,Loot,Optics,,,,
Kazuar Optic,KazuarOptic,Loot,Optics,,,,
Land Mine Trap,LandMineTrap,Loot,Traps,,,,
Lard,Lard,Loot,Food,,,,
Large Tent,LargeTent,Loot,Camping,Camping Gear,,,
Leather Belt,LeatherBelt_Beige,Loot,Belts,,,,
Leather Belt,LeatherBelt_Black,Loot,Belts,,,,
Leather Belt,LeatherBelt_Brown,Loot,Belts,,,,
Leather Belt,LeatherBelt_Natural,Loot,Belts,,,,
Leather Gloves,LeatherGloves_Beige,Loot,Gloves,,,,
Leather Gloves,LeatherGloves_Black,Loot,Gloves,,,,
Leather Gloves,LeatherGloves_Brown,Loot,Gloves,,,,
Leather Gloves,LeatherGloves_Natural,Loot,Gloves,,,,
Leather Hat,LeatherHat_Beige,Loot,Headwear,,,,
Leather Hat,LeatherHat_Black,Loot,Headwear,,,,
Leather Hat,LeatherHat_Brown,Loot,Headwear,,,,
Leather Hat,LeatherHat_Natural,Loot,Headwear,,,,
Leather Jacket,LeatherJacket_Beige,Loot,Shirts,,,,
Leather Jacket,LeatherJacket_Black,Loot,Shirts,,,,
Leather Jacket,LeatherJacket_Brown,Loot,Shirts,,,,
Leather Jacket,LeatherJacket_Natural,Loot,Shirts,,,,
Leather Knife Sheath,LeatherKnifeSheath,Loot,Holsters,,,,
Leather Pants,LeatherPants_Beige,Loot,Pants,,,,
Leather Pants,LeatherPants_Black,Loot,Pants,,,,
Leather Pants,LeatherPants_Brown,Loot,Pants,,,,
Leather Pants,LeatherPants_Natural,Loot,Pants,,,,
Leather Sack,LeatherSack_Beige,Loot,Backpacks,,,,
Leather Sack,LeatherSack_Black,Loot,Backpacks,,,,
Leather Sack,LeatherSack_Brown,Loot,Backpacks,,,,
Leather Sack,LeatherSack_Natural,Loot,Backpacks,,,,
Leather Shirt,LeatherShirt_Natural,Loot,Shirts,,,,
Leather Shoes,LeatherShoes_Beige,Loot,Shoes,,,,
Leather Shoe,LeatherShoes_Black,Loot,Shoes,,,,
Leather Shoes,LeatherShoes_Brown,Loot,Shoes,,,,
Leather Shoes,LeatherShoes_Natural,Loot,Shoes,,,,
Leather Storage Vest,LeatherStorageVest_Beige,Loot,Vests,,,,
Leather Storage Vest,LeatherStorageVest_Black,Loot,Vests,,,,
Leather Storage Vest,LeatherStorageVest_Brown,Loot,Vests,,,,
Leather Storage Vest,LeatherStorageVest_Natural,Loot,Vests,,,,
Long Torch,LongTorch,Loot,Equipment,,,,
Long Wooden Stick,LongWoodenStick,Loot,Equipment,,,,
Smoke Grenade,M18SmokeGrenade_Purple,Loot,Grenades,,,,
Smoke Grenade,M18SmokeGrenade_Red,Loot,Grenades,,,,
Smoke Grenade,M18SmokeGrenade_Yellow,Loot,Grenades,,,,
M4A1_Black,M4A1_Black,Loot,Weapons,,,,
M4A1_Green,M4A1_Green,Loot,Weapons,,,,
M4_CQBBttstck,M4_CQBBttstck,Loot,Attachments,,,,
M4_CarryHandleOptic,M4_CarryHandleOptic,Loot,Attachments,,,,
M4_RISHndgrd,M4_RISHndgrd,Loot,Attachments,,,,
M4_RISHndgrd_Black,M4_RISHndgrd_Black,Loot,Attachments,,,,
M4_RISHndgrd_Green,M4_RISHndgrd_Green,Loot,Attachments,,,,
M4_Suppressor,M4_Suppressor,Loot,Attachments,,,,
M65Jacket_Olive,M65Jacket_Olive,Loot,Attachments,,,,
M9A1_Bayonet,M9A1_Bayonet,Loot,Attachments,,,,
MP5_Compensator,MP5_Compensator,Loot,Attachments,,,,
MP5_RailHndgrd,MP5_RailHndgrd,Loot,Attachments,,,,
AKM_Drum_Mag,Mag_AKM_Drum75Rnd,Loot,Attachments,,,,
CMAG_20Rnd Mag,Mag_CMAG_20Rnd,Loot,Attachments,,,,
CMAG_40Rnd Mag,Mag_CMAG_40Rnd,Loot,Attachments,,,,
Glock Mag,Mag_Glock_15Rnd,Loot,Attachments,,,,
IJ70_Mag,Mag_IJ70_8Rnd,Loot,Attachments,,,,
SVD_Mag,Mag_SVD_10Rnd,Loot,Attachments,,,,
Saiga_Mag,Mag_Saiga_8Rnd,Loot,Attachments,,,,
UMP_Mag,Mag_UMP_25Rnd,Loot,Attachments,,,,
Suit,ManSuit_DarkGrey,Loot,Shirts,,,,
Suit,ManSuit_White,Loot,Shirts,,,,
Scrubs Hat,MedicalScrubsHat_White,Loot,Headwear,,,,
Scrubs Pants,MedicalScrubsPants_Blue,Loot,Pants,,,,
Scrubs Pants,MedicalScrubsPants_White,Loot,Pants,,,,
Srubs Shirt,MedicalScrubsShirt_White,Loot,Shirts,,,,
Medium Tent,MediumTent,Loot,Camping,Camping Gear,,,
Beret,MilitaryBeret_ChDKZ,Loot,Headwear,,,,
Military Boots,MilitaryBoots_Beige,Loot,Shoes,,,,
Military Boots,MilitaryBoots_Bluerock,Loot,Shoes,,,,
Military Boots,MilitaryBoots_Redpunk,Loot,Shoes,,,,
Dress,MiniDress_Pink,Loot,Pants,,,,
Mosin9130_Black,Mosin9130_Black,Loot,Weapons,,,,
Mosin9130_Camo,Mosin9130_Camo,Loot,Weapons,,,,
Mosin9130_Green,Mosin9130_Green,Loot,Weapons,,,,
Mosin_Bayonet,Mosin_Bayonet,Loot,Attachments,,,,
Mountain Bag,MountainBag_Blue,Loot,Backpacks,,,,
Mouth Gag,MouthRag,Loot,Masks,,,,
Mp133Shotgun,Mp133Shotgun,Loot,Weapons,,,,
NBC Gloves Gray,NBCGlovesGray,Loot,Gloves,,,,
NBC Hood Gray,NBCHoodGray,Loot,Shirts,,,,
NBCJacket Gray,NBCJacketGray,Loot,Shirts,,,,
Nail,Nail,Loot,Crafting,,,,
Nailed Baseball Bat,NailedBaseballBat,Loot,Melee Weapons,,,,
Nurse Dress,NurseDress_White,Loot,Pants,,,,
OMNO Gloves,OMNOGloves_Brown,Loot,Gloves,,,,
OMNO Gloves,OMNOGloves_Gray,Loot,Gloves,,,,
OffroadHatchback,OffroadHatchback,Vehicle,N/A,,,,
OffroadHatchback_Blue,OffroadHatchback_Blue,Vehicle,N/A,,,,
OffroadHatchback_White,OffroadHatchback_White,Vehicle,N/A,,,,
PSO1Optic,PSO1Optic,Loot,Optics,,,,
Paper,Paper,Loot,Equipment,,,,
Paramedic Jacket,ParamedicJacket_Crimson,Loot,Shirts,,,,
Paramedic Pants,ParamedicPants_Crimson,Loot,Pants,,,,
Party Tent Lunapark,PartyTent_Lunapark,Loot,Camping,,,,
Peaches,PeachesCan,Loot,Food,,,,
Peaches,PeachesCan_Opened,Loot,Food,,,,
Pen,Pen_Black,Loot,Equipment,,,,
Pen,Pen_Blue,Loot,Equipment,,,,
Pen,Pen_Green,Loot,Equipment,,,,
Pen,Pen_Red,Loot,Equipment,,,,
Pepper Seeds,PepperSeeds,Loot,Seeds,,,,
Personal Radio,PersonalRadio,Loot,Communication,,,,
Pig Pelt,PigPelt,Loot,Crafting,,,,
Pig Steak Meat,PigSteakMeat,Loot,Food,,,,
Pilotka Cap,PilotkaCap,Loot,Headwear,,,,
Plant Material,PlantMaterial,Loot,Crafting,,,,
Plant_Pepper,Plant_Pepper,Loot,Food,,,,
Plant_Potato,Plant_Potato,Loot,Food,,,,
Plant_Pumpkin,Plant_Pumpkin,Loot,Food,,,,
Plant_Tomato,Plant_Tomato,Loot,Food,,,,
Plant_Zucchini,Plant_Zucchini,Loot,Food,,,,
Plate Carrier Vest,PlateCarrierVest,Loot,Vests,,,,
Police Cap,PoliceCap,Loot,Headwear,,,,
Police Jacket,PoliceJacket,Loot,Vests,,,,
Police Jacket,PoliceJacketOrel,Loot,Vests,,,,
Police Pants,PolicePants,Loot,Pants,,,,
Police Pants,PolicePantsOrel,Loot,Pants,,,,
Pot,Pot,Loot,Cooking,,,,
Press Vest,PressVest_Blue,Loot,Vests,,,,
Press Vest,PressVest_LightBlue,Loot,Vests,,,,
Prison Jacket,PrisonUniformJacket,Loot,Shirts,,,,
Prison Pants,PrisonUniformPants,Loot,Pants,,,,
Prisoner Cap,PrisonerCap,Loot,Headwear,,,,
Pumpkin,Pumpkin,Loot,Food,,,,
Pumpkin Helmet,PumpkinHelmet,Loot,Headwear,,,,
Pumpkin Seeds,PumpkinSeeds,Loot,Seeds,,,,
Quilted Jacket,QuiltedJacket_Green,Loot,Shirts,,,,
Smoke Grenade,RDG2SmokeGrenade_Black,Loot,Grenades,,,,
RGD5 Grenade,RGD5Grenade,Loot,Grenades,,,,
Raincoat,Raincoat_Black,Loot,Shirts,,,,
Raincoat,Raincoat_Green,Loot,Shirts,,,,
Raincoat,Raincoat_Red,Loot,Shirts,,,,
Reflex Vest,ReflexVest,Loot,Vests,,,,
Riders Jacket,RidersJacket_Black,Loot,Shirts,,,,
Roadflare,Roadflare,Loot,Light Sources,,,,
SKS,SKS,Loot,Weapons,,,,
Saiga,Saiga,Loot,Weapons,,,,
Saiga_Bttstck,Saiga_Bttstck,Loot,Attachments,,,,
SalineBagIV,SalineBagIV,Loot,Medical,,,,
Sambucus Berry,SambucusBerry,Loot,Food,,,,
Santas Beard,SantasBeard,Loot,Masks,,,,
Santas Hat,SantasHat,Loot,Headwear,,,,
Sardines,SardinesCan_Opened,Loot,Food,,,,
SawedoffIzh18,SawedoffIzh18,Loot,Weapons,,,,
SawedoffIzh43Shotgun,SawedoffIzh43Shotgun,Loot,Weapons,,,,
SawedoffMosin9130,SawedoffMosin9130,Loot,Weapons,,,,
SawedoffMosin9130_Black,SawedoffMosin9130_Black,Loot,Weapons,,,,
SawedoffMosin9130_Camo,SawedoffMosin9130_Camo,Loot,Weapons,,,,
SawedoffMosin9130_Green,SawedoffMosin9130_Green,Loot,Weapons,,,,
Sedan_02_Door_1_1,Sedan_02_Door_1_1,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_1_Grey,Sedan_02_Door_1_1_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_1_Red,Sedan_02_Door_1_1_Red,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_1_YellowRust,Sedan_02_Door_1_1_YellowRust,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_2,Sedan_02_Door_1_2,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_2_Grey,Sedan_02_Door_1_2_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_2_Red,Sedan_02_Door_1_2_Red,Loot,Vehicle Parts,,,,
Sedan_02_Door_1_2_RedRust,Sedan_02_Door_1_2_RedRust,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_1,Sedan_02_Door_2_1,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_1_Grey,Sedan_02_Door_2_1_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_1_Red,Sedan_02_Door_2_1_Red,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_1_RedRust,Sedan_02_Door_2_1_RedRust,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_2,Sedan_02_Door_2_2,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_2_Grey,Sedan_02_Door_2_2_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Door_2_2_Red,Sedan_02_Door_2_2_Red,Loot,Vehicle Parts,,,,
Sedan_02_Hood,Sedan_02_Hood,Loot,Vehicle Parts,,,,
Sedan_02_Hood_Grey,Sedan_02_Hood_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Hood_GreyRust,Sedan_02_Hood_GreyRust,Loot,Vehicle Parts,,,,
Sedan_02_Hood_Red,Sedan_02_Hood_Red,Loot,Vehicle Parts,,,,
Sedan_02_Hood_YellowRust,Sedan_02_Hood_YellowRust,Loot,Vehicle Parts,,,,
Sedan_02_Trunk,Sedan_02_Trunk,Loot,Vehicle Parts,,,,
Sedan_02_Trunk_Grey,Sedan_02_Trunk_Grey,Loot,Vehicle Parts,,,,
Sedan_02_Trunk_Red,Sedan_02_Trunk_Red,Loot,Vehicle Parts,,,,
Sedan_02_Trunk_RedRust,Sedan_02_Trunk_RedRust,Loot,Vehicle Parts,,,,
Sedan_02_Wheel_Ruined,Sedan_02_Wheel_Ruined,Loot,Vehicle Parts,,,,
Sharp Long Wooden Stick,SharpLongWoodenStick,Loot,Melee Weapons,,,,
Sheep Pelt,SheepPelt,Loot,Crafting,,,,
Sheep Steak Meat,SheepSteakMeat,Loot,Food,,,,
Shelter Fabric,ShelterFabric,Loot,Crafting,,,,
Shelter Kit,ShelterKit,Loot,Equipment,,,,
Shelter Leather,ShelterLeather,Loot,Crafting,,,,
Shelter Site,ShelterSite,Loot,Camping,,,,
Short Jeans,ShortJeans_Brown,Loot,Pants,,,,
Skate Helmet,SkateHelmet_Blue,Loot,Headwear,,,,
Skate Helmet,SkateHelmet_Gray,Loot,Headwear,,,,
Skate Helmet,SkateHelmet_Red,Loot,Headwear,,,,
Skirt,Skirt_Blue,Loot,Pants,,,,
Slacks Pants,SlacksPants_Black,Loot,Pants,,,,
Slacks Pants,SlacksPants_Brown,Loot,Pants,,,,
Slacks Pants,SlacksPants_Khaki,Loot,Pants,,,,
Slacks Pants,SlacksPants_White,Loot,Pants,,,,
Sliced Pumpkin,SlicedPumpkin,Loot,Food,,,,
Small Guts,SmallGuts,Loot,Food,,,,
Smersh Bag,SmershBag,Loot,Backpacks,,,,
Smersh Vest,SmershVest,Loot,Vests,,,,
Cola,SodaCan_Cola,Loot,Food,,,,
Spaghetti,SpaghettiCan_Opened,Loot,Food,,,,
Spear,Spear,Loot,Melee Weapons,,,,
Splint,Splint,Loot,Medical,,,,
Splint_Applied,Splint_Applied,Loot,Medical,,,,
Stone,Stone,Loot,Crafting,,,,
Stone Knife,StoneKnife,Loot,Tools,,,,
Stun Baton,StunBaton,Loot,Melee Weapons,,,,
Surgical Gloves,SurgicalGloves_LightBlue,Loot,Gloves,,,,
Sweater Gray,Sweater_Gray,Loot,Shirts,,,,
TLR Light,TLRLight,Loot,Light Sources,,,,
TShirt,TShirt_Black,Loot,Shirts,,,,
TShirt,TShirt_OrangeWhiteStripes,Loot,Shirts,,,,
TShirt,TShirt_Red,Loot,Shirts,,,,
TShirt,TShirt_RedBlackStripes,Loot,Shirts,,,,
TShirt,TShirt_White,Loot,Shirts,,,,
TTSKO Boots,TTSKOBoots,Loot,Shoes,,,,
TTsKO Jacket,TTsKOJacket_Camo,Loot,Pants,,,,
Bacon,TacticalBaconCan,Loot,Food,,,,
Bacon,TacticalBaconCan_Opened,Loot,Food,,,,
Tactical Gloves,TacticalGloves_Green,Loot,Gloves,,,,
Tactical Goggles,TacticalGoggles,Loot,Eyewear,,,,
Tactical Shirt,TacticalShirt_Black,Loot,Shirts,,,,
Tactical Shirt,TacticalShirt_Grey,Loot,Shirts,,,,
Tactical Shirt,TacticalShirt_Olive,Loot,Shirts,,,,
Taloon Bag,TaloonBag_Violet,Loot,Backpacks,,,,
Tanker Helmet,TankerHelmet,Loot,Headwear,,,,
Tanned Leather,TannedLeather,Loot,Crafting,,,,
Territory Flag,TerritoryFlag,Loot,Construction,,,,
Territory Flag Kit,TerritoryFlagKit,Loot,Equipment,,,,
Tomato Seeds,TomatoSeeds,Loot,Seeds,,,,
Torch,Torch,Loot,Equipment,,,,
Track Suit Pants,TrackSuitPants_Green,Loot,Pants,,,,
Truck_01_Covered_Blue,Truck_01_Covered_Blue,Loot,Vehicle Parts,,,,
Truck_01_Covered_Orange,Truck_01_Covered_Orange,Loot,Vehicle Parts,,,,
Truck_01_WheelDouble_Ruined,Truck_01_WheelDouble_Ruined,Loot,Vehicle Parts,,,,
Truck_01_Wheel_Ruined,Truck_01_Wheel_Ruined,Loot,Vehicle Parts,,,,
Tuna,TunaCan_Opened,Loot,Food,,,,
UK Ass Vest,UKAssVest_Camo,Loot,Vests,,,,
UK Ass Vest,UKAssVest_Khaki,Loot,Vests,,,,
USMC Jacket,USMCJacket_Woodland,Loot,Shirts,,,,
USMC Pants,USMCPants_Desert,Loot,Pants,,,,
USMC Pants,USMCPants_Woodland,Loot,Pants,,,,
Underground Stash,UndergroundStash,Loot,Small Storage,Camping Gear,,,
Ushanka,Ushanka_Black,Loot,Headwear,,,,
VSS,VSS,Loot,Weapons,,,,
Watchtower Kit,WatchtowerKit,Loot,Crafting,,,,
Welding Mask,WeldingMask,Loot,Masks,,,,
Wellies Grey,Wellies_Grey,Loot,Shoes,,,,
Wildboar Pelt,WildboarPelt,Loot,Crafting,,,,
Wolf Mask,WolfMask,Loot,Masks,,,,
Wolf Pelt,WolfPelt,Loot,Crafting,,,,
Wolf Steak Meat,WolfSteakMeat,Loot,Food,,,,
Woman Suit,WomanSuit_Black,Loot,Shirts,,,,
Woman Suit,WomanSuit_Blue,Loot,Shirts,,,,
Woman Suit,WomanSuit_Brown,Loot,Shirts,,,,
Woman Suit,WomanSuit_White,Loot,Shirts,,,,
Wooden Log,WoodenLog,Loot,Crafting,,,,
Wooden Plank,WoodenPlank,Loot,Crafting,,,,
Wool Coat,WoolCoat_Black,Loot,Shirts,,,,
Wool Coat,WoolCoat_Red,Loot,Shirts,,,,
Working Gloves,WorkingGloves_Brown,Loot,Gloves,,,,
ZSh3 Pilot Helmet,ZSh3PilotHelmet,Loot,Headwear,,,,
Zmijovka Cap,ZmijovkaCap_Red,Loot,Headwear,,,,
Zucchini Seeds,ZucchiniSeeds,Loot,Seeds,,,,
AreaDamageTrigger,AreaDamageTrigger,NULL,N/A,,NULL,NULL,
